Energy keV	sbspec sum - Counts
20.02610966	22687.84948
20.42645779	23086.55567
20.82680592	23895.1965
21.22715405	25290.76898
21.62750218	27381.11004
22.0278503	30064.72248
22.42819843	33487.63498
22.82854656	35964.778
23.22889469	35469.19282
23.62924282	33178.66018
24.02959095	31757.83051
24.42993908	32290.52816
24.83028721	34461.32577
25.23063534	37675.18088
25.63098346	41293.1163
26.03133159	44897.57146
26.43167972	49334.94078
26.83202785	57794.16912
27.23237598	69692.67128
27.63272411	81333.06046
28.03307224	92256.57143
28.43342037	107560.7203
28.83376849	138843.8418
29.23411662	221140.1663
29.63446475	451228.4851
30.03481288	957600.0568
30.43516101	1551935.556
30.83550914	1580672.721
31.23585727	917164.0826
31.6362054	296882.2877
32.03655352	74017.58902
32.43690165	36405.9675
32.83724978	36325.18696
33.23759791	45898.78759
33.63794604	73913.17349
34.03829417	144069.5724
34.4386423	257668.3166
34.83899043	322881.6366
35.23933856	262410.3162
35.63968668	156245.4687
36.04003481	82120.80774
36.44038294	37393.20195
36.84073107	17383.20081
37.2410792	12273.23939
37.64142733	11635.18714
38.04177546	11867.32154
38.44212359	12040.27617
38.84247171	12038.83259
39.24281984	11830.02518
39.64316797	11658.54528
40.0435161	11568.53707
40.44386423	11432.38351
40.84421236	11383.12284
41.24456049	11410.11662
41.64490862	11435.8389
42.04525674	11624.97283
42.44560487	11851.14449
42.845953	11984.29984
43.24630113	12070.51604
43.64664926	12219.9023
44.04699739	12343.87637
44.44734552	12302.94926
44.84769365	12306.46875
45.24804178	12312.18617
45.6483899	12425.26559
46.04873803	12570.92583
46.44908616	12634.78715
46.84943429	12709.74544
47.24978242	13182.30472
47.65013055	13442.21676
48.05047868	13877.85718
48.45082681	14503.44683
48.85117493	15394.88809
49.25152306	16867.78573
49.65187119	18399.60891
50.05221932	18980.3021
50.45256745	18397.93113
50.85291558	18327.48065
51.25326371	19677.28677
51.65361184	22832.25426
52.05395997	29245.65229
52.45430809	40870.05674
52.85465622	53982.90248
53.25500435	57892.88282
53.65535248	47605.8636
54.05570061	34306.95189
54.45604874	27548.22675
54.85639687	25551.74921
55.256745	23963.32369
55.65709312	22938.97821
56.05744125	23872.42391
56.45778938	27160.99421
56.85813751	33219.94181
57.25848564	43180.9423
57.65883377	53530.44573
58.0591819	54950.5151
58.45953003	46814.06359
58.85987815	39508.0743
59.26022628	35620.03989
59.66057441	29985.12354
60.06092254	23620.11746
60.46127067	20476.30507
60.8616188	20354.22337
61.26196693	21417.95313
61.66231506	22146.02875
62.06266319	21874.31309
62.46301131	20994.8486
62.86335944	20604.4894
63.26370757	20288.19161
63.6640557	19950.94578
64.06440383	20119.944
64.46475196	20621.14647
64.86510009	21042.40412
65.26544822	21736.245
65.66579634	22761.4729
66.06614447	24100.49417
66.4664926	25457.99993
66.86684073	26503.33701
67.26718886	26356.28531
67.66753699	24650.74641
68.06788512	23268.44522
68.46823325	23124.13376
68.86858138	23858.69037
69.2689295	24337.75282
69.66927763	24534.27777
70.06962576	24537.52942
70.46997389	24938.99798
70.87032202	25875.17919
71.27067015	27000.78026
71.67101828	27924.29735
72.07136641	29025.99362
72.47171453	30328.40955
72.87206266	31846.44848
73.27241079	33327.86736
73.67275892	34990.17531
74.07310705	36605.35749
74.47345518	38621.87388
74.87380331	40976.75679
75.27415144	43715.57459
75.67449956	46791.03117
76.07484769	50463.97851
76.47519582	54861.17371
76.87554395	60018.8868
77.27589208	66811.00549
77.67624021	75274.60465
78.07658834	85659.75996
78.47693647	99686.08983
78.8772846	119634.7203
79.27763272	146252.5332
79.67798085	181447.9917
80.07832898	231837.7504
80.47867711	297359.9066
80.87902524	333572.0549
81.27937337	279953.299
81.6797215	161616.0571
82.08006963	63775.53642
82.48041775	21078.48973
82.88076588	10430.24299
83.28111401	8700.14188
83.68146214	8588.741308
84.08181027	8668.894538
84.4821584	8541.798022
84.88250653	8509.809405
85.28285466	8550.558115
85.68320279	8406.87725
86.08355091	8300.884728
86.48389904	8353.420447
86.88424717	8285.535938
87.2845953	8394.660302
87.68494343	8340.977885
88.08529156	8421.818507
88.48563969	8394.611704
88.88598782	8273.728176
89.28633594	8280.311188
89.68668407	8591.712119
90.0870322	8986.04911
90.48738033	9455.125709
90.88772846	10069.51783
